price,carpet_area,bedroom,bathroom,transaction_type,floor_category,luxury_category,property_type,regions,balconies_iter,furnished_status_imputed,additional_room
1.11,1285.0,3.0,4.0,new property,High Floor,Low,flat,pune,4.0,0,0.0
6.0,3360.0,4.0,4.0,resale,High Floor,Medium,villa,bangalore,3.0,1,1.0
1.72,960.0,3.0,3.0,resale,High Floor,Low,flat,pune,2.0,0,1.0
0.6,1300.0,3.0,2.0,resale,Low Floor,Low,flat,noida,2.0,1,0.0
0.81,788.0,2.0,2.0,resale,Mid Floor,Low,flat,greater noida,2.0,0,0.0
1.45,635.0,2.0,2.0,new property,High Floor,Low,flat,thane,2.0,0,0.0
1.25,1180.0,3.0,2.0,resale,Low Floor,Low,builder-floor,gurgaon,3.0,1,0.0
1.7,1600.0,3.0,3.0,resale,Mid Floor,Medium,flat,greater noida,3.0,2,0.0
1.2,990.0,2.0,2.0,resale,Mid Floor,Low,builder-floor,bangalore,4.0,0,0.0
0.51,720.0,2.0,2.0,resale,Low Floor,Low,flat,navi mumbai,2.0,2,0.0
0.3,426.0,2.0,2.0,resale,Low Floor,Low,flat,gurgaon,2.0,0,0.0
0.26,535.0,2.0,2.0,new property,Low Floor,Low,residential,greater noida,2.0,0,1.0
0.8,647.0,2.0,2.0,resale,Mid Floor,Low,flat,beyond thane,2.0,2,0.0
7.6,3200.0,4.0,4.0,resale,Low Floor,Medium,flat,new delhi,3.0,2,1.0
0.38,669.0,2.0,2.0,resale,Mid Floor,Low,builder-floor,new delhi,2.0,1,0.0
4.15,5750.0,4.0,5.0,new property,High Floor,Medium,villa,beyond thane,4.0,0,0.0
1.1,1208.0,3.0,3.0,resale,Mid Floor,Medium,flat,bangalore,3.0,1,0.0
2.45,2000.0,5.0,4.0,resale,Low Floor,Medium,residential,bangalore,2.0,0,1.0
8.0,4786.0,4.0,4.0,new property,High Floor,Medium,flat,navi mumbai,3.0,0,0.0
4.45,1783.0,3.0,3.0,resale,High Floor,Low,flat,gurgaon,3.0,1,1.0
0.4,576.0,2.0,2.0,resale,Low Floor,Low,flat,beyond thane,2.0,2,0.0
1.2,1120.0,3.0,2.0,resale,Low Floor,Low,flat,bangalore,3.0,2,0.0
2.05,650.0,2.0,2.0,new property,Mid Floor,Low,flat,mumbai,2.0,0,0.0
0.35,580.0,2.0,2.0,resale,Low Floor,Low,builder-floor,greater noida,2.0,1,0.0
1.2,720.0,2.0,2.0,resale,High Floor,Low,residential,bangalore,2.0,0,0.0
0.79,648.0,2.0,2.0,resale,Mid Floor,Low,flat,thane,2.0,0,0.0
0.59,850.0,2.0,2.0,resale,Mid Floor,Low,flat,beyond thane,2.0,0,0.0
2.49,750.0,3.0,3.0,new property,Mid Floor,Low,flat,mumbai,3.0,0,0.0
1.0,400.0,2.0,2.0,resale,High Floor,Low,villa,bangalore,2.0,1,0.0
1.06,725.0,2.0,2.0,new property,Mid Floor,Low,flat,bangalore,2.0,0,0.0
1.15,1300.0,2.0,2.0,resale,Mid Floor,Low,flat,bangalore,2.0,1,0.0
0.99,862.0,2.0,2.0,resale,Low Floor,Low,builder-floor,gurgaon,2.0,1,0.0
1.15,691.0,2.0,2.0,resale,Mid Floor,Low,flat,navi mumbai,2.0,1,0.0
6.25,1586.0,4.0,4.0,new property,Mid Floor,Medium,flat,new delhi,4.0,0,1.0
0.9,948.0,2.0,2.0,new property,Mid Floor,Low,flat,bangalore,2.0,0,0.0
1.5,860.0,3.0,3.0,resale,Mid Floor,Low,flat,thane,2.0,1,0.0
1.55,720.0,2.0,2.0,resale,Low Floor,Medium,flat,new delhi,2.0,2,1.0
1.9,1100.0,3.0,2.0,resale,Low Floor,Low,flat,new delhi,2.0,2,0.0
1.7,720.0,3.0,3.0,new property,Low Floor,Medium,builder-floor,new delhi,3.0,1,0.0
5.5,2570.0,4.0,5.0,resale,High Floor,High,flat,bangalore,4.0,0,1.0
3.1,1450.0,3.0,3.0,resale,Low Floor,Medium,builder-floor,new delhi,2.0,2,0.0
0.96,1053.0,3.0,3.0,new property,High Floor,Medium,flat,pune,3.0,0,0.0
3.1,1467.0,2.0,2.0,resale,High Floor,Low,residential,greater noida,2.0,0,0.0
0.9,1000.0,3.0,2.0,resale,High Floor,Medium,flat,bangalore,2.0,0,1.0
1.3,1571.0,3.0,4.0,resale,High Floor,Medium,villa,navi mumbai,3.0,0,0.0
2.0,750.0,2.0,2.0,resale,Mid Floor,Low,flat,mumbai,2.0,0,0.0
0.8,622.0,2.0,2.0,resale,Mid Floor,Low,flat,beyond thane,2.0,0,0.0
2.0,2800.0,5.0,7.0,resale,Low Floor,High,residential,bangalore,4.0,2,0.0
0.9,1339.0,3.0,3.0,resale,Mid Floor,Low,flat,greater noida,2.0,2,0.0
3.9,2080.0,4.0,4.0,resale,High Floor,Low,villa,bangalore,4.0,0,0.0
1.35,1182.0,3.0,3.0,resale,Low Floor,Medium,flat,greater noida,4.0,0,0.0
1.0,1850.0,3.0,3.0,resale,Mid Floor,Medium,flat,bangalore,3.0,0,0.0
2.24,1445.0,3.0,3.0,resale,Mid Floor,Medium,flat,gurgaon,3.0,1,0.0
0.36,820.0,2.0,2.0,resale,High Floor,Low,flat,bangalore,2.0,0,0.0
1.47,901.0,3.0,3.0,new property,High Floor,Medium,flat,pune,2.0,0,0.0
0.35,735.0,2.0,2.0,resale,High Floor,Low,residential,greater noida,2.0,0,0.0
1.2,720.0,3.0,2.0,resale,Mid Floor,Low,flat,navi mumbai,3.0,1,0.0
1.48,900.0,3.0,3.0,new property,Low Floor,Low,flat,gurgaon,3.0,1,0.0
0.55,1040.0,3.0,2.0,resale,Mid Floor,Medium,flat,bangalore,3.0,1,0.0
1.37,435.0,2.0,2.0,resale,Mid Floor,Low,flat,mumbai,2.0,0,0.0
0.35,675.0,2.0,2.0,resale,Mid Floor,Low,builder-floor,new delhi,2.0,1,0.0
14.0,2900.0,4.0,5.0,resale,High Floor,High,flat,gurgaon,3.0,0,1.0
5.7,1920.0,4.0,3.0,resale,Low Floor,Medium,residential,bangalore,3.0,0,0.0
0.75,828.0,2.0,2.0,resale,Mid Floor,Low,flat,beyond thane,2.0,2,0.0
2.23,1600.0,3.0,3.0,resale,High Floor,Medium,flat,bangalore,3.0,0,0.0
0.85,1265.0,3.0,3.0,new property,Mid Floor,Medium,flat,bangalore,2.0,0,0.0
1.2,1000.0,3.0,2.0,resale,Mid Floor,Medium,flat,pune,2.0,2,0.0
1.5,1103.0,3.0,3.0,resale,Mid Floor,Medium,flat,pune,3.0,2,0.0
2.4,1481.0,3.0,4.0,resale,High Floor,Medium,flat,bangalore,2.0,0,1.0
12.0,4500.0,4.0,5.0,resale,High Floor,High,villa,bangalore,2.0,1,1.0
